,Random Forest,XGBoost,Average,Category
pm2_5,41.10383924,40.771637,40.9377381,Pollutants
aqi_lag_1,2.546204138,2.1352308,2.340717459,Lag Features
o3,0.586777102,1.60835,1.09756357,Pollutants
aqi_lag_1h,1.685444064,0.30043495,0.992939506,Lag Features
pm2_5_lag_1,0.075366242,0.73641557,0.405890903,Lag Features
co,0.085025486,0.4797421,0.282383798,Pollutants
pm10,0.060249872,0.28704557,0.17364772,Pollutants
aqi_roll_mean_3,0.030548242,0.08464224,0.05759524,Rolling Mean
relativehumidity_2m,0.033926077,0.078696825,0.056311451,Weather
so2,0.019279938,0.09195392,0.055616928,Pollutants
pm2_5_lag_3,0.04806393,0.04400788,0.046035904,Lag Features
pm2_5_roll_mean_3,0.052853441,0.035839792,0.044346617,Rolling Mean
pm2_5_roll_mean_6,0.049163343,0.0365985,0.042880921,Rolling Mean
aqi_roll_mean_24,0.004653486,0.07032724,0.037490362,Rolling Mean
humidity_x_pm25,0.045334934,0.02629368,0.035814307,Pollutants
pm2_5_roll_std_6,0.008003305,0.05981107,0.033907188,Rolling Std
aqi_lag_3,0.018451309,0.03663449,0.0275429,Lag Features
pressure_msl,0.014511992,0.037464667,0.02598833,Weather
no2,0.011282119,0.0366505,0.02396631,Pollutants
aqi_lag_2,0.021346472,0.022721155,0.022033813,Lag Features
pm2_5_lag_6,0.006598373,0.037462212,0.022030293,Lag Features
temp_x_pm25,0.008451453,0.03555126,0.022001357,Pollutants
pm2_5_roll_std_3,0.015937443,0.024170794,0.020054118,Rolling Std
pm2_5_lag_24,0.005611566,0.03245378,0.019032672,Lag Features
aqi_lag_48,0.012902164,0.023250042,0.018076103,Lag Features
aqi_roll_mean_6,0.013595278,0.020873085,0.017234181,Rolling Mean
pm2_5_roll_mean_12,0.024990048,0.007966477,0.016478263,Rolling Mean
pm2_5_lag_2,0.017010015,0.014757158,0.015883586,Lag Features
aqi_lag_6,0.007002224,0.02255354,0.014777882,Lag Features
pm2_5_roll_std_12,0.007761129,0.019674012,0.013717571,Rolling Std
pm2_5_roll_std_48,0.006621344,0.020273676,0.01344751,Rolling Std
aqi_lag_24,0.004608707,0.022030257,0.013319482,Lag Features
aqi_roll_mean_12,0.012112746,0.012884484,0.012498615,Rolling Mean
pm2_5_roll_std_24,0.007064766,0.016513582,0.011789174,Rolling Std
pm2_5_roll_mean_48,0.006001856,0.015751211,0.010876533,Rolling Mean
windspeed_10m,0.003521869,0.017925361,0.010723615,Weather
wind_x_pm25,0.005497409,0.015445991,0.0104717,Pollutants
hour_sin,0.00490501,0.015182553,0.010043781,Temporal
aqi_lag_72,0.008251407,0.010602653,0.00942703,Lag Features
hour,0.003363426,0.013095003,0.008229214,Temporal
aqi_lag_12,0.005367523,0.009543355,0.007455439,Lag Features
temperature_2m,0.005356939,0.009537371,0.007447155,Weather
pm2_5_lag_48,0.010117404,0.003372292,0.006744848,Lag Features
aqi_roll_mean_48,0.004463391,0.007140831,0.005802111,Rolling Mean
pm2_5_lag_12,0.005722434,0.0055997,0.005661067,Lag Features
aqi_lag_24h,0.007783487,0.002564881,0.005174184,Lag Features
hour_cos,0.004421249,0.005324245,0.004872747,Pollutants
day_of_week,0.002616526,0.006100626,0.004358576,Temporal
dow_sin,0.005185619,0.00281074,0.003998179,Temporal
pm2_5_roll_mean_24,0.004050408,0.003046285,0.003548346,Rolling Mean
pm2_5_lag_72,0.004816709,0.001966336,0.003391523,Lag Features
AQI_24h_avg,0.00411133,0.002113286,0.003112308,Other
dow_cos,0.002224707,0.002344326,0.002284517,Pollutants
month,0.002065489,0.000427292,0.001246391,Other
is_weekend,0.002192001,0,0.001096001,Temporal
